# Force βfL, Extension z/L, Persistence Length λ
1.6393e-01,    3.3084e-03,    3.1250e-02
1.6545e-01,    3.3391e-03,    3.1250e-02
1.6698e-01,    3.3700e-03,    3.1250e-02
1.6852e-01,    3.4011e-03,    3.1250e-02
1.7009e-01,    3.4326e-03,    3.1250e-02
1.7166e-01,    3.4644e-03,    3.1250e-02
1.7325e-01,    3.4965e-03,    3.1250e-02
1.7485e-01,    3.5289e-03,    3.1250e-02
1.7647e-01,    3.5615e-03,    3.1250e-02
1.7811e-01,    3.5945e-03,    3.1250e-02
1.7976e-01,    3.6278e-03,    3.1250e-02
1.8142e-01,    3.6614e-03,    3.1250e-02
1.8310e-01,    3.6953e-03,    3.1250e-02
1.8479e-01,    3.7295e-03,    3.1250e-02
1.8651e-01,    3.7640e-03,    3.1250e-02
1.8823e-01,    3.7989e-03,    3.1250e-02
1.8997e-01,    3.8340e-03,    3.1250e-02
1.9173e-01,    3.8695e-03,    3.1250e-02
1.9351e-01,    3.9054e-03,    3.1250e-02
1.9530e-01,    3.9415e-03,    3.1250e-02
1.9711e-01,    3.9780e-03,    3.1250e-02
1.9893e-01,    4.0149e-03,    3.1250e-02
2.0078e-01,    4.0520e-03,    3.1250e-02
2.0263e-01,    4.0895e-03,    3.1250e-02
2.0451e-01,    4.1274e-03,    3.1250e-02
2.0640e-01,    4.1656e-03,    3.1250e-02
2.0832e-01,    4.2042e-03,    3.1250e-02
2.1024e-01,    4.2431e-03,    3.1250e-02
2.1219e-01,    4.2824e-03,    3.1250e-02
2.1416e-01,    4.3220e-03,    3.1250e-02
2.1614e-01,    4.3620e-03,    3.1250e-02
2.1814e-01,    4.4024e-03,    3.1250e-02
2.2016e-01,    4.4432e-03,    3.1250e-02
2.2220e-01,    4.4843e-03,    3.1250e-02
2.2425e-01,    4.5258e-03,    3.1250e-02
2.2633e-01,    4.5678e-03,    3.1250e-02
2.2843e-01,    4.6100e-03,    3.1250e-02
2.3054e-01,    4.6527e-03,    3.1250e-02
2.3268e-01,    4.6958e-03,    3.1250e-02
2.3483e-01,    4.7393e-03,    3.1250e-02
2.3700e-01,    4.7831e-03,    3.1250e-02
2.3920e-01,    4.8274e-03,    3.1250e-02
2.4141e-01,    4.8721e-03,    3.1250e-02
2.4365e-01,    4.9172e-03,    3.1250e-02
2.4590e-01,    4.9628e-03,    3.1250e-02
2.4818e-01,    5.0087e-03,    3.1250e-02
2.5048e-01,    5.0551e-03,    3.1250e-02
2.5280e-01,    5.1019e-03,    3.1250e-02
2.5514e-01,    5.1491e-03,    3.1250e-02
2.5750e-01,    5.1968e-03,    3.1250e-02
2.5989e-01,    5.2449e-03,    3.1250e-02
2.6229e-01,    5.2935e-03,    3.1250e-02
2.6472e-01,    5.3425e-03,    3.1250e-02
2.6717e-01,    5.3919e-03,    3.1250e-02
2.6964e-01,    5.4418e-03,    3.1250e-02
2.7214e-01,    5.4922e-03,    3.1250e-02
2.7466e-01,    5.5430e-03,    3.1250e-02
2.7720e-01,    5.5944e-03,    3.1250e-02
2.7977e-01,    5.6462e-03,    3.1250e-02
2.8236e-01,    5.6985e-03,    3.1250e-02
2.8497e-01,    5.7512e-03,    3.1250e-02
2.8761e-01,    5.8044e-03,    3.1250e-02
2.9028e-01,    5.8582e-03,    3.1250e-02
2.9296e-01,    5.9124e-03,    3.1250e-02
2.9568e-01,    5.9672e-03,    3.1250e-02
2.9841e-01,    6.0224e-03,    3.1250e-02
3.0118e-01,    6.0781e-03,    3.1250e-02
3.0397e-01,    6.1344e-03,    3.1250e-02
3.0678e-01,    6.1912e-03,    3.1250e-02
3.0962e-01,    6.2485e-03,    3.1250e-02
3.1249e-01,    6.3064e-03,    3.1250e-02
3.1538e-01,    6.3648e-03,    3.1250e-02
3.1830e-01,    6.4237e-03,    3.1250e-02
3.2125e-01,    6.4832e-03,    3.1250e-02
3.2422e-01,    6.5432e-03,    3.1250e-02
3.2722e-01,    6.6038e-03,    3.1250e-02
3.3025e-01,    6.6649e-03,    3.1250e-02
3.3331e-01,    6.7266e-03,    3.1250e-02
3.3640e-01,    6.7889e-03,    3.1250e-02
3.3951e-01,    6.8517e-03,    3.1250e-02
3.4265e-01,    6.9151e-03,    3.1250e-02
3.4583e-01,    6.9792e-03,    3.1250e-02
3.4903e-01,    7.0438e-03,    3.1250e-02
3.5226e-01,    7.1090e-03,    3.1250e-02
3.5552e-01,    7.1748e-03,    3.1250e-02
3.5881e-01,    7.2412e-03,    3.1250e-02
3.6214e-01,    7.3083e-03,    3.1250e-02
3.6549e-01,    7.3759e-03,    3.1250e-02
3.6887e-01,    7.4442e-03,    3.1250e-02
3.7229e-01,    7.5131e-03,    3.1250e-02
3.7573e-01,    7.5827e-03,    3.1250e-02
3.7921e-01,    7.6529e-03,    3.1250e-02
