# Force βfL, Extension z/L, Persistence Length λ
8.4697e-02,    3.3084e-03,    6.2500e-02
8.5481e-02,    3.3391e-03,    6.2500e-02
8.6272e-02,    3.3700e-03,    6.2500e-02
8.7071e-02,    3.4012e-03,    6.2500e-02
8.7877e-02,    3.4326e-03,    6.2500e-02
8.8691e-02,    3.4644e-03,    6.2500e-02
8.9512e-02,    3.4965e-03,    6.2500e-02
9.0341e-02,    3.5289e-03,    6.2500e-02
9.1177e-02,    3.5615e-03,    6.2500e-02
9.2021e-02,    3.5945e-03,    6.2500e-02
9.2873e-02,    3.6278e-03,    6.2500e-02
9.3733e-02,    3.6614e-03,    6.2500e-02
9.4601e-02,    3.6953e-03,    6.2500e-02
9.5477e-02,    3.7295e-03,    6.2500e-02
9.6361e-02,    3.7640e-03,    6.2500e-02
9.7253e-02,    3.7989e-03,    6.2500e-02
9.8154e-02,    3.8341e-03,    6.2500e-02
9.9062e-02,    3.8695e-03,    6.2500e-02
9.9980e-02,    3.9054e-03,    6.2500e-02
1.0091e-01,    3.9415e-03,    6.2500e-02
1.0184e-01,    3.9780e-03,    6.2500e-02
1.0278e-01,    4.0149e-03,    6.2500e-02
1.0373e-01,    4.0520e-03,    6.2500e-02
1.0469e-01,    4.0895e-03,    6.2500e-02
1.0566e-01,    4.1274e-03,    6.2500e-02
1.0664e-01,    4.1656e-03,    6.2500e-02
1.0763e-01,    4.2042e-03,    6.2500e-02
1.0863e-01,    4.2431e-03,    6.2500e-02
1.0963e-01,    4.2824e-03,    6.2500e-02
1.1065e-01,    4.3220e-03,    6.2500e-02
1.1167e-01,    4.3621e-03,    6.2500e-02
1.1271e-01,    4.4024e-03,    6.2500e-02
1.1375e-01,    4.4432e-03,    6.2500e-02
1.1480e-01,    4.4843e-03,    6.2500e-02
1.1586e-01,    4.5259e-03,    6.2500e-02
1.1694e-01,    4.5677e-03,    6.2500e-02
1.1802e-01,    4.6100e-03,    6.2500e-02
1.1911e-01,    4.6527e-03,    6.2500e-02
1.2022e-01,    4.6958e-03,    6.2500e-02
1.2133e-01,    4.7393e-03,    6.2500e-02
1.2245e-01,    4.7831e-03,    6.2500e-02
1.2359e-01,    4.8274e-03,    6.2500e-02
1.2473e-01,    4.8721e-03,    6.2500e-02
1.2589e-01,    4.9172e-03,    6.2500e-02
1.2705e-01,    4.9627e-03,    6.2500e-02
1.2823e-01,    5.0087e-03,    6.2500e-02
1.2941e-01,    5.0551e-03,    6.2500e-02
1.3061e-01,    5.1019e-03,    6.2500e-02
1.3182e-01,    5.1491e-03,    6.2500e-02
1.3304e-01,    5.1968e-03,    6.2500e-02
1.3427e-01,    5.2449e-03,    6.2500e-02
1.3552e-01,    5.2935e-03,    6.2500e-02
1.3677e-01,    5.3425e-03,    6.2500e-02
1.3804e-01,    5.3919e-03,    6.2500e-02
1.3932e-01,    5.4418e-03,    6.2500e-02
1.4061e-01,    5.4922e-03,    6.2500e-02
1.4191e-01,    5.5430e-03,    6.2500e-02
1.4322e-01,    5.5944e-03,    6.2500e-02
1.4455e-01,    5.6462e-03,    6.2500e-02
1.4589e-01,    5.6984e-03,    6.2500e-02
1.4724e-01,    5.7512e-03,    6.2500e-02
1.4860e-01,    5.8044e-03,    6.2500e-02
1.4998e-01,    5.8582e-03,    6.2500e-02
1.5136e-01,    5.9124e-03,    6.2500e-02
1.5277e-01,    5.9671e-03,    6.2500e-02
1.5418e-01,    6.0224e-03,    6.2500e-02
1.5561e-01,    6.0782e-03,    6.2500e-02
1.5705e-01,    6.1344e-03,    6.2500e-02
1.5850e-01,    6.1912e-03,    6.2500e-02
1.5997e-01,    6.2485e-03,    6.2500e-02
1.6145e-01,    6.3064e-03,    6.2500e-02
1.6295e-01,    6.3648e-03,    6.2500e-02
1.6445e-01,    6.4237e-03,    6.2500e-02
