# Force βfλ, Rxy^2
9.9254e-03,    6.6663e-01
1.0017e-02,    6.6663e-01
1.0110e-02,    6.6663e-01
1.0204e-02,    6.6663e-01
1.0298e-02,    6.6663e-01
1.0393e-02,    6.6662e-01
1.0490e-02,    6.6662e-01
1.0587e-02,    6.6662e-01
1.0685e-02,    6.6662e-01
1.0784e-02,    6.6662e-01
1.0884e-02,    6.6662e-01
1.0984e-02,    6.6662e-01
1.1086e-02,    6.6662e-01
1.1189e-02,    6.6662e-01
1.1292e-02,    6.6662e-01
1.1397e-02,    6.6662e-01
1.1502e-02,    6.6662e-01
1.1609e-02,    6.6662e-01
1.1716e-02,    6.6661e-01
1.1825e-02,    6.6661e-01
1.1934e-02,    6.6661e-01
1.2045e-02,    6.6661e-01
1.2156e-02,    6.6661e-01
1.2269e-02,    6.6661e-01
1.2382e-02,    6.6661e-01
1.2497e-02,    6.6661e-01
1.2613e-02,    6.6661e-01
1.2730e-02,    6.6661e-01
1.2847e-02,    6.6661e-01
1.2966e-02,    6.6660e-01
1.3086e-02,    6.6660e-01
1.3208e-02,    6.6660e-01
1.3330e-02,    6.6660e-01
1.3453e-02,    6.6660e-01
1.3578e-02,    6.6660e-01
1.3704e-02,    6.6660e-01
1.3831e-02,    6.6660e-01
1.3959e-02,    6.6660e-01
1.4088e-02,    6.6659e-01
1.4218e-02,    6.6659e-01
1.4350e-02,    6.6659e-01
1.4483e-02,    6.6659e-01
1.4617e-02,    6.6659e-01
1.4752e-02,    6.6659e-01
1.4889e-02,    6.6659e-01
1.5027e-02,    6.6659e-01
1.5166e-02,    6.6658e-01
1.5306e-02,    6.6658e-01
1.5448e-02,    6.6658e-01
1.5591e-02,    6.6658e-01
1.5735e-02,    6.6658e-01
1.5881e-02,    6.6658e-01
1.6028e-02,    6.6658e-01
1.6176e-02,    6.6657e-01
1.6326e-02,    6.6657e-01
1.6477e-02,    6.6657e-01
1.6630e-02,    6.6657e-01
1.6784e-02,    6.6657e-01
1.6939e-02,    6.6657e-01
1.7096e-02,    6.6656e-01
1.7254e-02,    6.6656e-01
1.7414e-02,    6.6656e-01
1.7575e-02,    6.6656e-01
1.7738e-02,    6.6656e-01
1.7902e-02,    6.6656e-01
1.8068e-02,    6.6655e-01
1.8235e-02,    6.6655e-01
1.8404e-02,    6.6655e-01
1.8575e-02,    6.6655e-01
1.8747e-02,    6.6655e-01
1.8920e-02,    6.6654e-01
1.9095e-02,    6.6654e-01
1.9272e-02,    6.6654e-01
1.9450e-02,    6.6654e-01
1.9631e-02,    6.6653e-01
1.9812e-02,    6.6653e-01
1.9996e-02,    6.6653e-01
2.0181e-02,    6.6653e-01
2.0368e-02,    6.6652e-01
2.0556e-02,    6.6652e-01
2.0747e-02,    6.6652e-01
2.0939e-02,    6.6652e-01
2.1133e-02,    6.6651e-01
2.1328e-02,    6.6651e-01
