# Force βfL, Rxyy^2, Persistence Length λ
1.0769e-02,    6.1441e-01,    4.0000e+00
1.0869e-02,    6.1441e-01,    4.0000e+00
1.0970e-02,    6.1441e-01,    4.0000e+00
1.1071e-02,    6.1441e-01,    4.0000e+00
1.1174e-02,    6.1441e-01,    4.0000e+00
1.1277e-02,    6.1441e-01,    4.0000e+00
1.1382e-02,    6.1441e-01,    4.0000e+00
1.1487e-02,    6.1441e-01,    4.0000e+00
1.1593e-02,    6.1441e-01,    4.0000e+00
1.1701e-02,    6.1441e-01,    4.0000e+00
1.1809e-02,    6.1441e-01,    4.0000e+00
1.1918e-02,    6.1441e-01,    4.0000e+00
1.2029e-02,    6.1441e-01,    4.0000e+00
1.2140e-02,    6.1441e-01,    4.0000e+00
1.2253e-02,    6.1441e-01,    4.0000e+00
1.2366e-02,    6.1441e-01,    4.0000e+00
1.2481e-02,    6.1441e-01,    4.0000e+00
1.2596e-02,    6.1441e-01,    4.0000e+00
1.2713e-02,    6.1441e-01,    4.0000e+00
1.2830e-02,    6.1441e-01,    4.0000e+00
1.2949e-02,    6.1441e-01,    4.0000e+00
1.3069e-02,    6.1441e-01,    4.0000e+00
1.3190e-02,    6.1441e-01,    4.0000e+00
1.3312e-02,    6.1441e-01,    4.0000e+00
1.3435e-02,    6.1441e-01,    4.0000e+00
1.3560e-02,    6.1441e-01,    4.0000e+00
1.3685e-02,    6.1441e-01,    4.0000e+00
1.3812e-02,    6.1441e-01,    4.0000e+00
1.3940e-02,    6.1441e-01,    4.0000e+00
1.4069e-02,    6.1441e-01,    4.0000e+00
1.4199e-02,    6.1440e-01,    4.0000e+00
1.4331e-02,    6.1440e-01,    4.0000e+00
1.4464e-02,    6.1440e-01,    4.0000e+00
1.4597e-02,    6.1440e-01,    4.0000e+00
1.4733e-02,    6.1440e-01,    4.0000e+00
1.4869e-02,    6.1440e-01,    4.0000e+00
1.5007e-02,    6.1440e-01,    4.0000e+00
1.5146e-02,    6.1440e-01,    4.0000e+00
1.5286e-02,    6.1440e-01,    4.0000e+00
1.5427e-02,    6.1440e-01,    4.0000e+00
1.5570e-02,    6.1440e-01,    4.0000e+00
1.5714e-02,    6.1440e-01,    4.0000e+00
1.5860e-02,    6.1440e-01,    4.0000e+00
1.6007e-02,    6.1440e-01,    4.0000e+00
1.6155e-02,    6.1440e-01,    4.0000e+00
1.6304e-02,    6.1440e-01,    4.0000e+00
1.6455e-02,    6.1440e-01,    4.0000e+00
1.6608e-02,    6.1440e-01,    4.0000e+00
1.6762e-02,    6.1440e-01,    4.0000e+00
1.6917e-02,    6.1440e-01,    4.0000e+00
1.7073e-02,    6.1440e-01,    4.0000e+00
1.7231e-02,    6.1440e-01,    4.0000e+00
1.7391e-02,    6.1440e-01,    4.0000e+00
1.7552e-02,    6.1440e-01,    4.0000e+00
1.7714e-02,    6.1440e-01,    4.0000e+00
1.7879e-02,    6.1440e-01,    4.0000e+00
1.8044e-02,    6.1440e-01,    4.0000e+00
1.8211e-02,    6.1440e-01,    4.0000e+00
1.8380e-02,    6.1440e-01,    4.0000e+00
1.8550e-02,    6.1440e-01,    4.0000e+00
1.8722e-02,    6.1440e-01,    4.0000e+00
1.8895e-02,    6.1440e-01,    4.0000e+00
1.9070e-02,    6.1440e-01,    4.0000e+00
1.9246e-02,    6.1440e-01,    4.0000e+00
1.9425e-02,    6.1440e-01,    4.0000e+00
1.9605e-02,    6.1440e-01,    4.0000e+00
1.9786e-02,    6.1440e-01,    4.0000e+00
