# Force βfL, Rxyy^2, Persistence Length λ
4.5371e-02,    1.4584e-01,    1.2500e-01
4.5791e-02,    1.4584e-01,    1.2500e-01
4.6215e-02,    1.4584e-01,    1.2500e-01
4.6643e-02,    1.4584e-01,    1.2500e-01
4.7075e-02,    1.4584e-01,    1.2500e-01
4.7511e-02,    1.4584e-01,    1.2500e-01
4.7951e-02,    1.4584e-01,    1.2500e-01
4.8395e-02,    1.4584e-01,    1.2500e-01
4.8843e-02,    1.4584e-01,    1.2500e-01
4.9295e-02,    1.4584e-01,    1.2500e-01
4.9751e-02,    1.4584e-01,    1.2500e-01
5.0212e-02,    1.4584e-01,    1.2500e-01
5.0677e-02,    1.4584e-01,    1.2500e-01
5.1146e-02,    1.4584e-01,    1.2500e-01
5.1620e-02,    1.4584e-01,    1.2500e-01
5.2097e-02,    1.4584e-01,    1.2500e-01
5.2580e-02,    1.4584e-01,    1.2500e-01
5.3067e-02,    1.4584e-01,    1.2500e-01
5.3558e-02,    1.4584e-01,    1.2500e-01
5.4054e-02,    1.4584e-01,    1.2500e-01
5.4554e-02,    1.4584e-01,    1.2500e-01
5.5059e-02,    1.4584e-01,    1.2500e-01
5.5569e-02,    1.4584e-01,    1.2500e-01
5.6084e-02,    1.4584e-01,    1.2500e-01
5.6603e-02,    1.4584e-01,    1.2500e-01
5.7127e-02,    1.4584e-01,    1.2500e-01
5.7656e-02,    1.4584e-01,    1.2500e-01
5.8190e-02,    1.4584e-01,    1.2500e-01
5.8729e-02,    1.4584e-01,    1.2500e-01
5.9272e-02,    1.4584e-01,    1.2500e-01
5.9821e-02,    1.4584e-01,    1.2500e-01
6.0375e-02,    1.4584e-01,    1.2500e-01
6.0934e-02,    1.4584e-01,    1.2500e-01
6.1498e-02,    1.4584e-01,    1.2500e-01
6.2067e-02,    1.4584e-01,    1.2500e-01
6.2642e-02,    1.4584e-01,    1.2500e-01
6.3222e-02,    1.4584e-01,    1.2500e-01
6.3807e-02,    1.4584e-01,    1.2500e-01
6.4398e-02,    1.4584e-01,    1.2500e-01
6.4995e-02,    1.4584e-01,    1.2500e-01
6.5596e-02,    1.4584e-01,    1.2500e-01
6.6204e-02,    1.4584e-01,    1.2500e-01
6.6817e-02,    1.4584e-01,    1.2500e-01
6.7435e-02,    1.4584e-01,    1.2500e-01
6.8060e-02,    1.4584e-01,    1.2500e-01
6.8690e-02,    1.4584e-01,    1.2500e-01
6.9326e-02,    1.4583e-01,    1.2500e-01
6.9968e-02,    1.4583e-01,    1.2500e-01
7.0615e-02,    1.4583e-01,    1.2500e-01
7.1269e-02,    1.4583e-01,    1.2500e-01
7.1929e-02,    1.4583e-01,    1.2500e-01
7.2595e-02,    1.4583e-01,    1.2500e-01
7.3267e-02,    1.4583e-01,    1.2500e-01
7.3945e-02,    1.4583e-01,    1.2500e-01
7.4630e-02,    1.4583e-01,    1.2500e-01
7.5321e-02,    1.4583e-01,    1.2500e-01
7.6018e-02,    1.4583e-01,    1.2500e-01
